単語	読み方	翻訳		
竹	たけ	bambou		
林	はやし	bois		
村	むら	village		
左	ひだり	gauche		
右	みぎ	droite		
石	いし	pierre		
王様	おうさま	roi		
玉	たま	balle / boule		
生	い(きる)	vivre		
糸	いと	fil		
夕	ゆう	soir		
先	さき　ま(ず)	d'abord		
未来	みらい	futur		
未定	みてい	pas décidé, pas fixé		
未成年	みせいねん	mineur		
青年	せいねん	adolescent		
未知	みち	pas encore savoir, inconnu		
未婚	みこん	célibataire (adm)		
婚約	こんやく	fiançailles	婚約者=fiancé(e)	
約束	やくそく	promesse		
結婚	けっこん	mariage		
週末	しゅうまつ	weekend		
期末	きまつ	fin du semestre		
期間	きかん	période		
学期	がっき	semestre		
時期	じき	période de temps		
同期	どうき	même promo		
限る	かぎる	limiter		
期限	きげん	période limitée		
期間限定	きかんげんてい	période fixe de tps limitée		
賞味期限	しょうみきげん	expiration (goût)		
消費期限	しょうひきげん	expiration (consommation)		
消す	けす	effacer		
費やす	ついやす	consommer		
消費量	しょうひりょう	quantité consommée		
料理	りょうり	cuisine		
有料	ゆうりょう	payant		
無料	むりょう	gratuit		
給料	きゅうりょう	salaire		
時給	じきゅう	salaire de l'heure		
年収	ねんしゅう	salaire annuel		
料金	りょうきん	frais, prix		
銀	ぎん	argent (metal)		
銅	どう	bronze		
最も	もっとも	le plus		
最近	さいきん	récemment		
最高	さいこう	meilleur, le plus haut		
最悪	さいあく	pire		
最初	さいしょ	en premier		
最後	さいご	en dernier		
最強	さいきょう	le plus fort		
研究	けんきゅう	recherche	研究者=chercheur	
階段	かいだん	escalier		
段階	だんかい	étapes		
通る	とお(る)	traverser		
普通	ふつう	normal		
普段	ふだん	d'habitude		
共通	きょうつう	ensemble, commun		
共通点	きょうつうてん	point commun		
共同	きょうどう	union/commun		
共同研究	きょうどうけんきゅう	recherche commune		
同僚	どうりょう	collègue		
共感	きょうかん	sympathie		
集める	あつめる	assembler		
集中	しゅうちゅう	concentration		
写真集	しゃしんしゅう	album photo		
決める	きめる	décider		
定める	さだめる	fixer		
決定	けってい	décidé		
動詞	どうし	verbe		
他	ほか	autre		
理由	りゆう	origine		
文化	ぶんか	culture		
探す	さがす	chercher		
神	かみ	dieu		
有名	ゆうめい	connu		
売る	うる	vendre		
特に	とくに	en plus, surtout		
特別	とくべつ	spécial		
描く	かく	dessiner		
漫画	まんが	manga		
画面	がめん	écran		
面白い	おもしろい	drôle		
映画	えいが	film cinéma	Film cinéma ?	映画館 cinéma (lieu)
勉強	べんきょう	étudier		
顔	かお	visage		
地震	じしん	tremblement de terre		
自身	じしん	soi même		
自信	じしん	confiance en soi		
最強一	さいきょう	le plus fort		
最強二	さいきょう	le plus fort		
最強三	さいきょう	le plus fort		
最強四	さいきょう	le plus fort		
最強五	さいきょう	le plus fort		
最強六	さいきょう	le plus fort		
最強七	さいきょう	le plus fort		
最強八	さいきょう	le plus fort		
最強九	さいきょう	le plus fort		
最強十	さいきょう	le plus fort		
最強壱	さいきょう	le plus fort		
最強弐	さいきょう	le plus fort		
最強参	さいきょう	le plus fort		
最強肆	さいきょう	le plus fort		
最強伍	さいきょう	le plus fort		
最強陸	さいきょう	le plus fort		
最強百	さいきょう	le plus fort		
最後後	さいご	en dernier		