漢字	読み方
竹	たけ
林	はやし
村	むら
左	ひだり
右	みぎ
石	いし
王	おう
様	さま
玉	たま
生	い(きる)
糸	いと
夕	ゆう
先	さき、ま(ず)
未	み
来	らい
定	てい、さだ(める)
成	せい
年	ねん
青	せい
知	ち
婚	こん
約	やく
束	そく
結	けつ
週	しゅう
末	まつ
期	き
間	かん
学	がく
時	じ
同	どう、おな(じ)
限	かぎ(る)、げん
賞	しょう
味	み
消	しょう、け(す)
費	ひ、つい(やす)
量	りょう
料	りょう
理	り
有	ゆう
無	む
給	きゅう
収	しゅう
金	きん、(お)かね
銀	ぎん
銅	どう
最	さい、もっと(も)
近	きん、ちか(い)
高	こう、たか(い)
悪	あく、わる(い)
初	しょ、はじ(めて)
後	ご、うし(ろ)
強	きょう、つよ(い)
研	けん
究	きゅう
階	かい
段	だん
通	つう、とお(る)
普	ふ
共	きょう
点	てん
僚	りょう
感	かん
集	しゅう、あつ(める)
中	ちゅう、なか
写	しゃ
真	しん
決	けつ、き(める)
動	どう
詞	し
他	ほか、た
由	ゆう
文	ぶん
化	か
探	さが(す)
神	かみ
名	めい、な
売	う(る)
特	とく
別	べつ
描	か(く)
漫	まん
画	が
面	めん、おも
白	しろ(い)
映	えい
勉	べん
顔	かお
地	じ
震	しん
自	じ
身	しん
信	しん